customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_000001,Male,0,Yes,Yes,5,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,134.3,762.17,No
CUST_000002,Female,0,Yes,Yes,45,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),114.07,4702.07,Yes
CUST_000003,Male,1,No,No,23,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,138.01,3062.97,No
CUST_000004,Male,0,Yes,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),153.45,6241.43,Yes
CUST_000005,Male,1,No,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),43.76,2669.73,No
CUST_000006,Female,0,Yes,No,3,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,154.2,494.57,Yes
CUST_000007,Male,1,Yes,No,3,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),177.1,478.05,Yes
CUST_000008,Male,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.7,1073.96,Yes
CUST_000009,Male,1,No,Yes,41,Yes,No phone service,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),136.45,5387.82,No
CUST_000010,Female,0,Yes,No,18,Yes,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),135.1,2734.44,No
CUST_000011,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),162.27,1845.54,No
CUST_000012,Male,0,No,No,22,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),121.7,2433.62,Yes
CUST_000013,Male,1,Yes,Yes,8,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,135.72,1106.69,Yes
CUST_000014,Male,0,Yes,No,6,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),37.67,243.77,No
CUST_000015,Female,1,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),156.19,1881.08,Yes
CUST_000016,Male,1,No,No,5,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,119.17,578.37,Yes
CUST_000017,Female,0,No,No,14,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,116.1,1583.69,Yes
CUST_000018,Female,0,No,No,63,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),122.95,8130.35,Yes
CUST_000019,Female,0,No,No,37,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),145.77,5428.5,No
CUST_000020,Male,0,No,No,57,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),142.22,8669.95,No
CUST_000021,Female,0,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,42.46,1342.49,No
CUST_000022,Male,0,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),151.16,1322.65,No
CUST_000023,Female,0,No,No,34,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,123.63,4086.21,No
CUST_000024,Female,0,Yes,No,52,Yes,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),113.8,5612.21,Yes
CUST_000025,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),132.22,6813.97,No
CUST_000026,Female,0,No,No,23,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,116.72,2650.52,No
CUST_000027,Female,1,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,176.23,977.33,No
